epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.5671,1.78084,1.49641,1.47853,0.91796,0.94613,0.97098,0.5528,1.56891,0.75658,1.3645,0.000663866,0.000663866,0.000663866
2,159.654,1.36682,0.73219,1.2137,0.92018,0.9553,0.97679,0.62411,1.33745,0.62914,1.25373,0.00131736,0.00131736,0.00131736
3,225.644,1.30531,0.67007,1.17874,0.9184,0.95505,0.97699,0.66752,1.19176,0.63878,1.16893,0.00195765,0.00195765,0.00195765
4,291.525,1.26587,0.6282,1.15599,0.93244,0.95719,0.98216,0.64692,1.28175,0.57637,1.21818,0.0019406,0.0019406,0.0019406
5,358.46,1.22736,0.59945,1.13823,0.92826,0.95731,0.98004,0.63164,1.32412,0.5627,1.25455,0.0019208,0.0019208,0.0019208
6,425.07,1.24004,0.58413,1.14639,0.93054,0.96034,0.9831,0.64706,1.28688,0.53061,1.232,0.001901,0.001901,0.001901
7,491.873,1.19773,0.56626,1.11866,0.93192,0.962,0.98233,0.67282,1.1844,0.51219,1.18639,0.0018812,0.0018812,0.0018812
8,583.825,1.20149,0.5547,1.1307,0.9287,0.95775,0.98188,0.67448,1.19464,0.52174,1.18033,0.0018614,0.0018614,0.0018614
9,651.532,1.17572,0.54475,1.1177,0.93561,0.96741,0.98485,0.69175,1.17038,0.47989,1.18246,0.0018416,0.0018416,0.0018416
