epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.285,1.78029,1.49638,1.47831,0.91903,0.94422,0.97069,0.54805,1.59651,0.7604,1.3761,0.000663866,0.000663866,0.000663866
2,220.823,1.35546,0.72511,1.20644,0.91886,0.95653,0.97498,0.57937,1.45443,0.64557,1.33156,0.00106709,0.00106709,0.00106709
3,295.998,1.29116,0.66162,1.16956,0.91946,0.95378,0.97706,0.58423,1.45989,0.63853,1.28838,0.00120631,0.00120631,0.00120631
4,370.906,1.23392,0.61772,1.13412,0.9307,0.95861,0.98084,0.68853,1.1405,0.53811,1.14346,0.000812,0.000812,0.000812
5,436.904,1.19379,0.58378,1.11191,0.93617,0.96339,0.98355,0.69891,1.10622,0.49767,1.12168,0.000416,0.000416,0.000416
