epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.726,1.69595,1.35065,1.48464,0.90585,0.96525,0.95816,0.54902,1.56338,0.75972,1.3455,0.000663522,0.000663522,0.000663522
2,126.093,1.38285,0.72658,1.26374,0.89091,0.93318,0.95573,0.54934,1.43979,0.79181,1.28623,0.0011985,0.0011985,0.0011985
3,187.902,1.31522,0.65664,1.22689,0.87225,0.90477,0.93901,0.4856,1.69923,0.78475,1.40484,0.00160148,0.00160148,0.00160148
4,249.354,1.27946,0.61142,1.20004,0.89602,0.92769,0.96112,0.53306,1.66727,0.69457,1.42666,0.001406,0.001406,0.001406
5,309.328,1.24175,0.5811,1.17801,0.91875,0.95679,0.97646,0.65441,1.2317,0.55159,1.17834,0.001208,0.001208,0.001208
6,369.394,1.21161,0.55382,1.16274,0.91267,0.94802,0.97319,0.56805,1.46155,0.60462,1.29625,0.00101,0.00101,0.00101
7,429.318,1.18786,0.53601,1.14885,0.91742,0.95407,0.97719,0.56743,1.54654,0.57956,1.36478,0.000812,0.000812,0.000812
8,489.371,1.13981,0.51763,1.128,0.93468,0.96191,0.98343,0.70859,1.08769,0.47303,1.11306,0.000614,0.000614,0.000614
9,550.324,1.12629,0.50585,1.12455,0.93122,0.96786,0.98257,0.69412,1.10513,0.46198,1.11837,0.000416,0.000416,0.000416
10,611.242,1.10453,0.48995,1.11691,0.93193,0.96451,0.98301,0.67009,1.22087,0.48118,1.17618,0.000218,0.000218,0.000218
