epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.8875,0.6263,1.82405,1.38631,0.77896,0.43902,0.52311,0.40048,1.15093,2.32088,1.64524,0.000660436,0.000660436,0.000660436
2,52.7881,0.40553,1.0153,1.19034,0.53922,0.22835,0.26829,0.1763,1.97288,3.98967,2.80537,0.00119572,0.00119572,0.00119572
3,77.3408,0.38428,0.77151,1.15253,0.75184,0.6748,0.74635,0.56772,0.91678,1.33521,1.26545,0.001599,0.001599,0.001599
4,102.931,0.38771,0.6345,1.16417,0.85703,0.76423,0.82257,0.61289,0.817,1.41545,1.14963,0.001406,0.001406,0.001406
5,128.461,0.3643,0.58075,1.11284,0.90517,0.73984,0.81118,0.62628,0.84461,0.9471,1.05042,0.001208,0.001208,0.001208
6,153.53,0.32107,0.44388,1.0894,0.87073,0.65854,0.80654,0.62354,0.82417,0.9274,1.01306,0.00101,0.00101,0.00101
7,178.203,0.31643,0.4101,1.07755,0.94047,0.77071,0.85209,0.65331,0.79013,0.86432,1.0693,0.000812,0.000812,0.000812
8,203.158,0.27207,0.35222,1.04341,0.91691,0.76423,0.84856,0.64375,0.73114,1.17627,0.95678,0.000614,0.000614,0.000614
9,227.616,0.2562,0.31108,1.0404,0.85649,0.84553,0.86772,0.68435,0.7353,0.84786,0.90568,0.000416,0.000416,0.000416
10,251.689,0.24057,0.29521,1.0114,0.92478,0.79968,0.86571,0.68094,0.73253,0.97746,0.9578,0.000218,0.000218,0.000218
