epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.7123,1.92874,1.62216,1.37406,0.87279,0.9542,0.93783,0.55358,1.39683,0.72355,1.11971,0.000664564,0.000664564,0.000664564
2,106.373,1.42352,0.74345,1.10127,0.92144,0.95661,0.9751,0.57959,1.36522,0.68339,1.13218,0.00126533,0.00126533,0.00126533
3,156.797,1.3559,0.67318,1.0738,0.92539,0.95742,0.97995,0.66987,1.14298,0.57613,1.04037,0.00180011,0.00180011,0.00180011
4,208.244,1.32204,0.63693,1.06125,0.9213,0.95424,0.97802,0.63274,1.29892,0.59104,1.07866,0.001703,0.001703,0.001703
5,264.597,1.29917,0.61617,1.05385,0.92676,0.95812,0.98094,0.67505,1.1662,0.54745,1.04685,0.001604,0.001604,0.001604
6,321.434,1.29885,0.60328,1.05561,0.92639,0.96029,0.98139,0.63902,1.29693,0.54887,1.08538,0.001505,0.001505,0.001505
7,375.505,1.25864,0.58706,1.03812,0.93391,0.96074,0.98278,0.66079,1.2512,0.53041,1.07131,0.001406,0.001406,0.001406
8,431.251,1.2347,0.57157,1.03472,0.92936,0.95846,0.98296,0.65227,1.25587,0.53105,1.07438,0.001307,0.001307,0.001307
9,486.113,1.22618,0.56158,1.0311,0.93085,0.96374,0.98265,0.68929,1.1566,0.48997,1.04651,0.001208,0.001208,0.001208
10,541.548,1.21742,0.55477,1.02689,0.9335,0.96008,0.98261,0.66954,1.2234,0.50676,1.06615,0.001109,0.001109,0.001109
11,582.021,1.22231,0.54993,1.06085,0.92283,0.9581,0.97937,0.6103,1.41806,0.5625,1.15244,0.00101,0.00101,0.00101
12,621.167,1.2164,0.53667,1.05734,0.93043,0.95822,0.98221,0.68516,1.13828,0.49236,1.03468,0.000911,0.000911,0.000911
13,660.269,1.18174,0.5196,1.04533,0.93293,0.96334,0.98232,0.67859,1.15049,0.48266,1.04137,0.000812,0.000812,0.000812
14,699.244,1.17444,0.51624,1.03983,0.93011,0.96456,0.98331,0.64798,1.27334,0.49509,1.09078,0.000713,0.000713,0.000713
15,738.684,1.18144,0.51713,1.04768,0.93414,0.96421,0.98376,0.70845,1.0787,0.45358,1.01631,0.000614,0.000614,0.000614
16,778.153,1.15916,0.50594,1.03732,0.93562,0.95919,0.98386,0.69421,1.13527,0.47162,1.0341,0.000515,0.000515,0.000515
17,817.945,1.13659,0.49749,1.02778,0.93691,0.96136,0.98381,0.67265,1.20235,0.47201,1.06091,0.000416,0.000416,0.000416
18,855.702,1.14183,0.49445,1.03036,0.93334,0.96466,0.98387,0.68063,1.17522,0.46401,1.04963,0.000317,0.000317,0.000317
19,894.044,1.12357,0.48795,1.02312,0.93557,0.96125,0.9841,0.66282,1.24288,0.47548,1.07514,0.000218,0.000218,0.000218
20,932.36,1.10603,0.48221,1.01488,0.93378,0.96435,0.98411,0.68217,1.18144,0.46204,1.04793,0.000119,0.000119,0.000119
